Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,428511601,5497.586531901361,11725937,150.4378251946644,1826122,5911081,75.83617157328264,62885,0.806782659446873,11041,
United States of America,Americas,77974225,23556.979,561050,169.5,128061,931612,281.452,12052,3.641,3262
India,South-East Asia,42881179,3107.322,126864,9.193,14148,512924,37.168,2511,0.182,302
Brazil,Americas,28351327,13338.071,692275,325.685,105776,645420,303.642,5731,2.696,816
France,Europe,21813080,33538.276,468894,720.939,66801,134442,206.709,1559,2.397,211
The United Kingdom,Europe,18734687,27597.275,286977,422.734,39235,160979,237.131,941,1.386,164
Russian Federation,Europe,15928568,10914.878,1088066,745.585,132998,348578,238.859,5405,3.704,762
Germany,Europe,14188269,17060.034,1152328,1385.564,216322,122145,146.868,1417,1.704,243
Turkey,Europe,13761290,16316.626,588322,697.568,86600,93258,110.575,1870,2.217,268
Italy,Europe,12603758,21132.534,338415,567.415,49162,153764,257.814,1802,3.021,252
Spain,Europe,10914105,23058.319,137944,291.435,18911,98936,209.023,1079,2.28,175
Argentina,Americas,8868188,19621.719,84980,188.026,12564,125775,278.289,1010,2.235,157
Iran (Islamic Republic of),Eastern Mediterranean,6998975,8332.813,122410,145.738,15340,135726,161.592,1488,1.772,227
Netherlands,Europe,6193776,35580.903,287352,1650.729,41481,21518,123.613,88,0.506,11
Colombia,Americas,6052126,11894.226,25138,49.404,2174,138285,271.771,846,1.663,80
Poland,Europe,5620946,14808.276,125631,330.973,18266,110858,292.053,1653,4.355,341
Mexico,Americas,5436566,4216.59,39764,30.841,18309,316492,245.471,1254,0.973,706
Indonesia,South-East Asia,5408328,1977.28,378326,138.316,57426,147342,53.868,1514,0.554,317
Ukraine,Europe,4809624,10997.509,172364,394.121,25789,105505,241.244,1681,3.844,276
Japan,Western Pacific,4684839,3704.119,538642,425.883,77810,22529,17.813,1575,1.245,257
South Africa,Africa,3665149,6179.784,16181,27.283,3117,98978,166.886,1458,2.458,110
Philippines,Western Pacific,3655709,3336.077,11112,10.14,1534,55977,51.083,754,0.688,201
Israel,Europe,3594185,41524.672,92922,1073.555,11799,10076,116.411,178,2.056,15
Czechia,Europe,3549479,33191.502,80645,754.119,11211,38433,359.39,317,2.964,13
Belgium,Europe,3529041,30627.549,39899,346.272,7,30076,261.021,189,1.64,3
Peru,Americas,3500880,10617.783,44091,133.723,2984,209808,636.325,1186,3.597,167
Malaysia,Western Pacific,3305157,10211.818,193643,598.291,31199,32488,100.377,287,0.887,55
Canada,Americas,3255058,8624.463,45890,121.588,11105,36161,95.811,482,1.277,115
Portugal,Europe,3219439,31269.109,87540,850.241,13158,20922,203.207,256,2.486,28
Viet Nam,Western Pacific,2972378,3053.648,365554,375.549,82126,39719,40.805,531,0.546,37
Chile,Americas,2921131,15280.918,211277,1105.225,25200,41571,217.465,836,4.373,45
Thailand,South-East Asia,2794350,4003.368,137939,197.62,23557,22768,32.619,230,0.33,38
Australia,Western Pacific,2749919,10784.045,143730,563.65,27382,5026,19.71,294,1.153,61
Switzerland,Europe,2718489,31410.849,76144,879.808,96,12603,145.622,40,0.462,0
Romania,Europe,2697566,13956.173,83850,433.808,11477,62958,325.721,895,4.63,119
Denmark,Europe,2666454,45793.621,223655,3841.046,29040,4422,75.943,259,4.448,47
Austria,Europe,2567224,28841.765,189606,2130.15,34883,14096,158.363,163,1.831,31
Republic of Korea,Western Pacific,2499188,4874.64,853213,1664.183,170016,7689,14.997,451,0.88,82
Sweden,Europe,2434783,23575.522,20219,195.777,3189,17064,165.227,107,1.036,1
Greece,Europe,2353577,21957.949,117657,1097.694,16962,25538,238.26,537,5.01,53
Iraq,Eastern Mediterranean,2296665,5709.902,12460,30.978,1736,24917,61.948,125,0.311,20
Bangladesh,South-East Asia,1939651,1177.763,13081,7.943,1516,29005,17.612,98,0.06,10
Serbia,Europe,1896575,27380.623,35162,507.63,4388,15010,216.698,399,5.76,52
Hungary,Europe,1774676,18165.426,35732,365.75,5512,43664,446.941,698,7.145,102
Jordan,Eastern Mediterranean,1599422,15675.791,73150,716.937,8144,13751,134.772,166,1.627,20
Georgia,Europe,1584454,39718.839,72654,1821.279,8455,16022,401.637,293,7.345,41
Pakistan,Eastern Mediterranean,1503873,680.817,12450,5.636,1232,30096,13.625,219,0.099,43
Slovakia,Europe,1408717,25810.732,101750,1864.279,15183,18338,335.992,159,2.913,24
Kazakhstan,Europe,1388713,7395.935,5747,30.607,612,18893,100.619,57,0.304,11
Ireland,Europe,1284179,25867.55,28928,582.704,4121,6460,130.125,65,1.309,8
Norway,Europe,1169057,21779.964,86789,1616.911,4691,1598,29.771,50,0.932,1
Morocco,Eastern Mediterranean,1159941,3142.572,2940,7.965,357,15938,43.18,105,0.284,16
Bulgaria,Europe,1080571,15544.47,26005,374.093,3411,35298,507.777,519,7.466,53
Cuba,Americas,1066927,9419.645,4179,36.895,513,8494,74.992,17,0.15,3
Lebanon,Eastern Mediterranean,1057000,15486.17,27002,395.608,3748,10027,146.906,137,2.007,20
Croatia,Europe,1047108,25802.499,19536,481.4,3774,14942,368.196,310,7.639,37
Tunisia,Eastern Mediterranean,992574,8398.392,18360,155.348,2091,27640,233.868,345,2.919,48
Nepal,South-East Asia,976512,3351.472,1655,5.68,151,11931,40.948,20,0.069,1
Mongolia,Western Pacific,904231,27582.398,10510,320.594,497,2091,63.783,14,0.427,2
Belarus,Europe,896319,9485.539,44683,472.87,6230,6407,67.804,112,1.185,15
Bolivia (Plurinational State of),Americas,891112,7633.945,4023,34.464,0,21400,183.329,58,0.497,0
Lithuania,Europe,885863,31704.884,43586,1559.935,6492,8336,298.344,126,4.51,20
Slovenia,Europe,884830,42217.972,21111,1007.271,2371,6865,327.55,44,2.099,5
United Arab Emirates,Eastern Mediterranean,876624,8863.381,5309,53.678,740,2298,23.235,9,0.091,1
Uruguay,Americas,823784,23714.681,35108,1010.672,4405,6905,198.778,111,3.195,10
Ecuador,Americas,820541,4650.788,16193,91.781,0,35172,199.353,105,0.595,0
Costa Rica,Americas,793835,15583.365,22808,447.732,3391,7954,156.141,125,2.454,18
Azerbaijan,Europe,779783,7690.793,20030,197.551,1979,9307,91.792,180,1.775,27
Guatemala,Americas,762096,4253.82,22085,123.273,3793,16833,93.957,172,0.96,39
Panama,Americas,752173,17432.529,6806,157.737,932,8036,186.244,66,1.53,7
Saudi Arabia,Eastern Mediterranean,741864,2130.944,7475,21.471,627,8990,25.823,13,0.037,3
Singapore,Western Pacific,642605,10984.059,127725,2183.206,20312,963,16.461,37,0.632,7
Sri Lanka,South-East Asia,640578,2991.503,7527,35.151,0,16086,75.122,160,0.747,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,640214,12549.736,15186,297.682,2042,5458,106.99,119,2.333,19
Finland,Europe,637658,11540.711,29496,533.836,1289,2364,42.785,3,0.054,0
Paraguay,Americas,637225,8934.057,8651,121.289,705,18259,255.996,232,3.253,22
Kuwait,Eastern Mediterranean,616409,14433.878,8457,198.03,1012,2533,59.313,9,0.211,2
Latvia,Europe,612920,32129.162,67624,3544.839,11320,5145,269.7,84,4.403,15
Myanmar,South-East Asia,575508,1057.729,19252,35.383,0,19349,35.562,30,0.055,0
Dominican Republic,Americas,572596,5278.399,1960,18.068,0,4360,40.192,9,0.083,0
Venezuela (Bolivarian Republic of),Americas,512169,1801.133,4127,14.513,395,5621,19.767,57,0.2,3
Bahrain,Eastern Mediterranean,501643,29481.098,23893,1404.17,3006,1444,84.863,12,0.705,2
Republic of Moldova,Europe,499015,12370.342,8264,204.861,1069,11171,276.924,130,3.223,14
Libya,Eastern Mediterranean,489940,7130.246,11452,166.664,1373,6222,90.551,66,0.961,12
Estonia,Europe,478941,36038.348,37000,2784.098,4391,2195,165.165,47,3.537,7
Egypt,Eastern Mediterranean,475341,464.498,14042,13.722,1892,23889,23.344,370,0.362,32
Puerto Rico,Americas,472100,16502.071,2355,82.318,164,4088,142.894,33,1.154,2
Ethiopia,Africa,468495,407.516,635,0.552,69,7446,6.477,17,0.015,5
